"Country.Name" "Country.Code" "Indicator.Name" "Indicator.Code" "X1960" "X1961" "X1962" "X1963" "X1964" "X1965" "X1966" "X1967" "X1968" "X1969" "X1970" "X1971" "X1972" "X1973" "X1974" "X1975" "X1976" "X1977" "X1978" "X1979" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "lon" "lat"
"111" "Cote d'Ivoire" "CIV" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 311.2 303.4 295.7 288.6 281.4 274.6 267.9 261.2 254.8 248.1 241.4 234.4 226.8 218.6 210 201.1 192.5 184.5 177.4 171.4 166.6 162.8 159.7 157.3 155.5 154.2 153.3 152.8 152.5 152.5 152.6 152.7 152.7 152.8 152.9 152.7 152.2 151.3 149.8 147.9 145.6 142.8 139.7 136.3 132.7 128.8 125.1 121.1 116.5 112.7 109.1 105.9 102.5 99 95.5 -5 8
"124" "Denmark" "DNK" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 25 24.5 23.8 23 22.1 21.1 20.1 19.1 18.1 17.4 16.6 15.8 14.9 13.9 13.1 12.3 11.6 11.1 10.6 10.3 10 9.7 9.6 9.6 9.6 9.7 9.7 9.7 9.6 9.3 8.9 8.4 7.9 7.4 6.9 6.5 6.2 6 5.8 5.7 5.6 5.5 5.4 5.3 5.1 4.9 4.7 4.5 4.3 4.2 4 3.9 3.8 3.7 3.6 10 56
"129" "Dominica" "DMA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 139 127.2 116.5 107.2 98.9 91.8 85.5 79.9 74.7 69.5 63.9 57.9 51.7 45.5 39.7 34.5 30.1 26.5 23.6 21.4 19.8 18.6 17.9 17.4 17.2 17 17 17 17 17.1 17.1 17.1 17 16.9 16.7 16.5 16.3 16 15.8 15.5 15.3 15.2 15.1 15.1 15.3 15.6 16 16.5 17.1 17.9 18.8 19.6 20.4 21 21.2 -61.33333 15.5
"130" "Dominican Republic" "DOM" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 147.8 145.9 143.7 141.3 138.6 135.8 132.9 130.1 127.3 124.5 121.6 118.5 115.2 111.7 108.2 104.5 100.9 97.4 94 90.7 87.5 84.3 81.3 78.3 75.5 72.7 70.1 67.5 65 62.6 60.2 57.9 55.6 53.4 51.2 49.2 47.3 45.5 43.9 42.5 41.3 40.1 39.1 38.3 37.5 36.8 36.1 35.5 34.9 34.3 33.8 33.3 32.7 32.2 31.5 -70.66667 19
"137" "Ecuador" "ECU" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 179.2 174.1 169.2 164.3 159.9 155.6 151.8 148.2 144.9 141.4 138 134.3 130.3 126 121.3 116.6 111.8 107.2 102.6 98.3 93.9 89.5 85 80.7 76.6 72.7 69.1 65.7 62.6 59.7 56.9 54.1 51.5 48.8 46.3 43.9 41.6 39.6 37.7 35.9 34.4 33.1 31.9 30.9 30 29.1 28.3 27.5 26.8 26 25.2 24.5 23.7 23 22.3 -77.5 -2
"140" "Egypt, Arab Rep." "EGY" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 312.8 302.9 293.1 283.5 274.8 266.9 260.3 254.8 250.2 246.4 242.9 239.4 235.2 229.7 222.9 214.7 205.7 196.2 186.6 177 167.6 158.1 148.4 138.5 128.5 118.8 110.1 102.5 96 90.6 85.9 81.7 77.5 73.3 68.9 64.6 60.4 56.5 52.8 49.5 46.5 43.8 41.4 39.2 37.3 35.6 34.1 32.7 31.4 30.2 29 27.9 26.8 25.8 24.8 103.86056 13.36179
"143" "El Salvador" "SLV" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 186.9 183.3 179.6 176 172.7 169.5 166.4 163.5 160.7 158 155.1 152.1 148.9 145.5 141.7 137.4 132.7 127.8 122.4 116.7 110.7 104.5 98.2 92 86 80.4 75.2 70.6 66.5 62.8 59.4 56.3 53.2 50.3 47.4 44.5 41.7 39.1 36.6 34.4 32.4 30.6 29 27.5 26.1 24.8 23.6 22.6 21.6 20.8 20 19.3 18.6 18 17.4 -88.91667 13.83333
"154" "Euro area" "EMU" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 46.7028463236882 44.3695451146768 42.0996484402425 39.9493640273831 37.9038260475073 36.0867612000301 34.4964999242222 33.0263027133198 30.515692300432 29.2430576915989 27.8903655329566 26.4480301438436 24.9771054180979 23.6339328552598 22.492928103019 21.483926161184 20.399388787355 19.2237275711418 17.9865906973241 16.917354160596 15.9642083267424 15.3119062347514 14.4748698990758 13.7681691938616 13.075202241301 12.4217325694783 11.848530363997 11.3400533003019 10.8661189558332 10.4177058534414 10.0037859943722 9.55677757778201 9.12894714603509 8.64437652387465 8.1023173792921 7.60341378659856 7.1513817186608 6.78034118074536 6.48579317788497 6.23845687576448 6.02209841109444 5.80455011652767 5.60812152496031 5.40100392356819 5.20465536605657 5.03020186103356 4.88037637900151 4.7223300251749 4.58394777967518 4.49183011485773 4.38166872727023 4.29374831585029 4.21024506987392 4.15279138243514 4.06872505730271 NA NA
"157" "European Union" "EUU" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 45.0451178761112 42.5089748619964 40.2805717824973 38.428608120247 36.4958133276644 34.7222433575252 33.1999762913714 31.8957199734935 32.6643701413636 31.5455992929857 30.2943993096033 28.945632018359 27.5768299394942 26.2855103215039 25.1655520761091 24.1823113812135 23.1438999728711 22.0255611605905 20.8440012088746 19.7550946184056 18.7841777228043 18.0380760902743 17.2129581261503 16.5268001518134 15.8912395736159 15.3094572887719 14.7756150344568 14.2762719518431 13.7665875767529 13.2184342592357 12.6323211981488 12.0181876156375 11.4292212928594 10.8373866216977 10.2109314444146 9.62356395443458 9.07394327279886 8.60366534721608 8.19128406843905 7.84443690623037 7.54077370355777 7.24228940208644 6.98429507086828 6.73226563715911 6.45878592741937 6.21543479789837 5.97591583742373 5.7367209658373 5.50763980408704 5.3046863388111 5.11162401363088 4.94857353468542 4.80080572554242 4.68704563262007 4.56155265909081 4.37599 50.83857
"164" "Fiji" "FJI" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 71.8 68.7 66 63.8 61.7 60 58.5 57.3 56.4 55.8 55.3 54.9 54.6 54.2 53.6 52.8 51.6 50 48.2 46.1 44 42 40 38.3 36.8 35.4 34.1 33 31.8 30.8 29.8 28.8 28 27.2 26.6 26.2 25.8 25.4 25.1 24.8 24.5 24.2 23.9 23.7 23.7 23.7 23.8 23.9 24 24 23.9 23.7 23.5 23.2 22.9 178 -18
"167" "Finland" "FIN" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 26.8 25.2 23.8 22.5 21.3 20.2 19.3 18.4 17.6 16.9 16.1 15.4 14.6 13.8 13.1 12.2 11.4 10.6 9.9 9.2 8.7 8.2 7.9 7.6 7.4 7.3 7.3 7.2 7.1 6.9 6.7 6.4 6.1 5.8 5.5 5.2 4.9 4.7 4.6 4.4 4.3 4.2 4.1 4 3.9 3.8 3.6 3.5 3.3 3.2 3 2.9 2.7 2.6 2.4 26 64
"172" "France" "FRA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 28.5 27 25.7 24.5 23.4 22.3 21.4 20.6 19.9 19.1 18.2 17.4 16.6 15.9 15.4 15 14.5 13.9 13.3 12.8 12.4 11.9 11.5 11.1 10.7 10.3 10 9.8 9.6 9.3 9 8.6 8.1 7.6 7 6.5 6.1 5.8 5.6 5.5 5.4 5.3 5.1 4.9 4.7 4.6 4.5 4.4 4.3 4.3 4.3 4.3 4.3 4.4 4.4 2 46
"179" "Gambia, The" "GMB" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 362.4 356.3 350.3 344.1 338.3 332.4 326.5 320.5 314.6 308.8 302.6 296.4 290 283.5 276.9 270.4 263.9 257.5 251.2 244.9 238.5 231.9 225.3 218.3 211.2 204 196.8 189.9 183.1 176.6 170.2 164.2 158.5 152.9 147.5 142.4 137.4 132.5 127.9 123.2 118.8 114.5 110.2 106 101.9 97.9 94.2 90.6 87.4 84.3 81.4 78.6 76.1 73.6 71.1 -42.80194 -5.08917
"186" "Ghana" "GHA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 210.9 208.6 206.7 205 203.8 203.1 202.9 202.7 202.8 202.5 201.9 200.7 198.5 195.3 191 185.9 180.7 175.8 171.6 168.4 166.2 164.6 163.1 161.3 158.5 154.6 149.7 144.1 138.2 132.6 127.4 123.1 119.7 117.1 115.1 113.4 111.6 109.5 106.9 104 100.7 97.3 94.2 91.3 88.7 86.5 84.4 82.2 79.9 77.4 74.7 71.9 69.2 66.5 64 -1.2 8.1
"189" "Greece" "GRC" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 55.8 54.4 52.8 51 49.3 47.8 46.3 44.6 42.4 40 37.6 35.6 34.1 33.1 32.4 31.4 30.1 28.5 26.9 25.1 23.5 21.9 20.6 19.5 18.5 17.4 16.4 15.3 14.3 13.3 12.6 11.9 11.4 10.9 10.5 10.1 9.7 9.3 8.8 8.3 7.8 7.3 6.8 6.3 5.9 5.5 5.2 5 4.8 4.8 4.7 4.7 4.7 4.7 4.6 22 39
"196" "Guatemala" "GTM" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 218.5 214.1 209.9 205.7 201.5 197.1 192.8 188.3 183.8 179 174.1 169 164 159 154 149 144.1 139.2 134.4 129.6 124.8 120.1 115.5 110.9 106.5 102 97.6 93.3 89 84.9 80.9 77 73.3 69.7 66.4 63.3 60.4 57.7 55.1 52.8 50.6 48.6 46.6 44.8 43.1 41.4 39.9 38.4 36.9 35.7 34.5 33.3 32.1 31.1 30.1 -90.25 15.5
"203" "Guyana" "GUY" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 93.3 89.2 85.7 82.8 80.4 78.5 77 75.9 74.9 74.3 73.9 73.6 73.4 73.2 73 72.7 72.4 72 71.5 71 70.4 69.8 69.2 68.5 67.7 66.8 65.8 64.7 63.3 61.9 60.4 58.8 57.2 55.6 54.1 52.7 51.4 50.2 49 47.8 46.7 45.6 44.8 44 43.4 42.8 42.4 42.1 41.9 41.7 41.5 41.4 41.2 40.8 40.2 -59 5
"206" "Haiti" "HTI" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 291.4 286.6 281.9 277.3 273 268.5 263.9 259.2 254.6 249.9 245.1 240.1 234.8 229.4 224 218.4 213 207.5 202.2 196.9 191.9 186.9 181.9 177 172.2 167.6 163 158.5 154.2 150 145.8 141.7 137.6 133.3 129.1 124.9 120.7 116.5 112.4 108.5 104.8 101.3 98.1 95.1 92.4 90 87.7 85.5 83.3 81.2 208.8 77.2 75.2 73.1 71 -72.41667 19
"211" "High income" "HIC" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 45.7 43.4 41.6 40.5 38.8 37.1 35.4 33.9 32 32.2 32.4 31 31.8 30.3 29 27.9 26.7 25.6 24.6 23.6 22.6 21.6 20.7 20 19.2 18.5 17.9 17.3 16.8 16.2 15.6 14.9 14.2 13.5 12.8 12.2 11.6 11.3 11.1 11.1 10.7 10.4 10.1 9.7 9.4 9 8.7 8.4 8.2 7.9 7.7 7.6 7.4 7.2 7 NA NA
"216" "High income: OECD" "OEC" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 46.2083843164857 43.912899200635 41.8319798960088 39.8307339898318 37.8520578109631 35.9187480285938 34.060405198949 32.359675933086 30.4533170055816 29.0190451861167 27.6121157832413 26.159608925197 24.7268297217274 23.318355424452 22.0484329174469 20.7902341862193 19.523795408177 18.3063113276881 17.1360727190482 16.1261315845454 15.2850487775325 14.641593234679 13.9525238479144 13.338921916137 12.8006501315616 12.3310421919981 11.897967244284 11.5295053667274 11.1445286880339 10.7536195779909 10.3248068301867 9.91166570342282 9.47456271297469 9.04081720371307 8.63440384185913 8.2400934358986 7.87587764762939 7.55500300086123 7.32559350973182 7.14663596466827 6.95794064519984 6.80461951229051 6.65930157693328 6.52341852831305 6.40402527107873 6.25454248650438 6.1176410329272 5.97531728011558 5.83911649794522 5.67455085062885 5.5474782958972 5.41770998188969 5.27937551350858 5.14725190925156 5.00949480977937 NA NA
"219" "Honduras" "HND" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 210.2 203.4 196.8 190.3 184.2 177.8 171.6 165.6 159.6 153.7 147.9 142.2 136.6 131.2 125.7 120.5 115.3 110.3 105.3 100.4 95.7 91.1 86.7 82.5 78.4 74.6 70.9 67.4 64.2 61.1 58.2 55.5 52.9 50.6 48.4 46.4 44.4 42.6 60 39.1 37.4 35.8 34.2 32.7 31.3 30 28.8 27.6 26.5 25.4 24.4 23.5 22.6 21.8 21.1 -86.5 15
"224" "Hungary" "HUN" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 58.9 56.1 54.4 52.7 50.8 48.9 47.4 46.2 45 43.7 42.7 42.3 42.2 42 41.2 39.2 35.9 32.3 29.4 27.5 26.2 25.1 24.2 23.9 24.1 24 23 21.5 20.2 19.6 19.1 18.3 17.2 15.9 14.7 13.8 13.1 12.6 12.2 11.7 11.2 10.5 9.8 9.2 8.7 8.3 7.9 7.5 7.2 6.8 6.6 6.4 6.3 6.2 6.1 20 47
"227" "Iceland" "ISL" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 21.4 21.1 20.7 20.2 19.7 19.1 18.5 17.8 17.1 16.5 15.8 15.2 14.6 14 13.4 12.8 12.2 11.5 10.9 10.3 9.8 9.2 8.8 8.4 8 7.7 7.4 7.1 6.9 6.6 6.4 6.2 5.9 5.7 5.5 5.2 5 4.7 4.5 4.2 4 3.8 3.6 3.4 3.3 3.1 2.9 2.8 2.7 2.5 2.4 2.3 2.2 2.1 2.1 -18 65
"230" "India" "IND" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 247.7 243.7 240 236.3 232.9 229.6 226.3 223.1 219.8 216.6 213.3 209.9 206.1 202.2 197.9 193.4 188.6 183.4 178.2 172.8 167.6 162.6 157.9 153.5 149.2 145.2 141.2 137.3 133.4 129.5 125.8 122.2 118.8 115.4 112.1 108.7 105.3 101.9 98.3 94.8 91.2 87.7 84.3 81 77.7 74.6 71.5 68.5 65.6 62.7 59.9 57.2 54.5 52.1 49.8 77 20
